	D3T0_sorted	D3T3_sorted	D3T7_sorted	D3T14_sorted	D3T0_unsorted	D3T3_unsorted	D3T7_unsorted	D3T14_unsorted
ADAM12	205	47	55	42	146	56	37	62
ADAM15	0	0	1	0	0	1	0	0
ADAM17	121	81	116	104	79	168	98	137
ADAM18	0	0	0	0	0	0	0	0
ADAM19	154	7	8	11	148	7	22	12
ADAM1A	3	2	4	1	2	2	1	1
ADAM2	0	0	0	0	0	0	0	0
ADAM20	0	2	1	0	0	0	0	0
ADAM20P1	1	0	1	1	0	0	0	0
ADAM21	0	0	0	1	0	0	1	1
ADAM21P1	0	0	0	1	0	0	0	1
ADAM22	0	1	1	0	0	2	1	1
ADAM23	6	1	8	0	0	0	0	1
ADAM28	0	0	0	0	0	1	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	3	1	5	1	4	5	2	7
ADAM33	73	28	29	30	52	49	24	17
ADAM3A	1	0	5	4	0	1	4	4
ADAM5	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0	0	1	0	0	0	0	0
ADAM9	98	27	29	31	91	44	27	42
ADAMDEC1	0	0	0	0	0	0	0	0
ADAMTS1	50	136	208	196	47	290	276	292
ADAMTS10	9	1	1	3	3	0	2	0
ADAMTS12	105	16	30	28	177	32	54	63
ADAMTS13	5	0	0	1	2	2	0	2
ADAMTS14	0	0	3	0	0	0	0	0
ADAMTS15	0	3	4	2	1	2	3	3
ADAMTS16	1	0	0	0	0	0	0	0
ADAMTS17	11	19	29	11	4	6	7	5
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	0	0	1	0	0	0	0	0
ADAMTS2	104	139	147	129	56	237	162	238
ADAMTS20	0	0	0	0	0	0	0	0
ADAMTS3	2	0	0	0	0	0	0	0
ADAMTS4	33	28	50	32	18	7	22	14
ADAMTS5	5	34	35	36	1	34	27	35
ADAMTS6	83	17	22	8	40	17	7	6
ADAMTS7	15	6	0	12	12	14	6	9
ADAMTS8	0	1	0	0	1	0	0	2
ADAMTS9	4	4	3	14	0	4	6	11
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	63	5	12	5	50	8	3	12
ADAMTSL2	12	9	17	7	8	3	1	3
ADAMTSL3	0	0	0	0	0	0	0	0
ADAMTSL4	0	0	1	1	0	0	0	1
ADAMTSL5	8	4	12	5	5	2	4	0
ADAP1	0	0	0	0	0	0	0	0
ADAP2	5	7	3	4	0	1	4	0
ADAR	140	48	90	113	234	155	63	86
ADARB1	10	21	32	30	9	18	18	27
ADARB2	15	17	32	22	13	4	4	11
ADARB2-AS1	0	0	0	0	0	0	0	0
ADAT1	76	50	126	85	91	73	56	66
ADAT2	28	18	29	33	23	18	13	18
ADAT3	0	0	0	1	0	0	1	1
ADC	7	0	1	0	5	2	0	1
ADCK1	31	9	5	13	24	24	13	26
ADCK2	6	2	2	0	2	2	6	2
ADCK3	26	18	13	50	36	77	39	78
ADCK4	1	1	2	5	3	3	4	4
ADCK5	11	12	15	29	12	15	10	19
ADCY1	17	17	29	20	10	6	6	7
ADCY10	1	1	2	0	0	0	0	1
ADCY10P1	4	4	6	6	3	1	2	2
ADCY2	7	10	11	13	4	4	1	2
ADCY3	22	13	19	15	14	19	9	9
ADCY4	1	0	0	0	0	0	0	0
ADCY5	0	0	1	3	2	1	4	1
ADCY6	12	28	33	29	22	27	22	24
ADCY7	27	7	3	3	30	12	3	6
ADCY8	0	0	0	0	0	0	0	0
ADCY9	8	3	5	6	2	5	3	4
ADCYAP1	0	0	0	0	0	0	0	0
ADCYAP1R1	1	0	1	0	2	0	0	0
ADD1	82	41	42	40	53	76	54	81
ADD2	6	0	0	0	0	0	0	0
ADD3	114	45	60	65	104	124	63	107
ADD3-AS1	2	0	1	1	1	0	0	1
ADGB	0	0	0	0	0	0	0	0
ADH1A	0	11	44	115	0	42	67	257
ADH1B	3	130	306	863	1	436	563	2075
ADH1C	3	15	43	112	2	36	57	225
ADH4	6	4	21	16	2	3	8	16
ADH5	702	301	521	533	1051	1253	982	1121
ADH6	3	5	6	2	1	2	1	2
ADH7	0	0	0	0	0	0	0	0
ADHFE1	2	7	21	28	2	32	15	29
ADI1	160	122	191	205	249	451	367	386
ADIG	0	0	0	0	0	0	0	0
ADIPOQ	37	30	221	585	14	16	311	1368
ADIPOQ-AS1	14	5	106	265	5	6	164	695
ADIPOR1	48	25	29	39	82	89	63	88
ADIPOR2	38	10	14	13	27	17	22	29
ADIRF	18	1	14	84	48	3	42	309
ADK	126	42	73	87	175	137	105	156
ADM	59	191	238	346	44	353	422	428
ADM2	40	33	35	33	36	10	10	12
ADM5	0	1	0	0	0	0	0	0
ADNP	29	13	16	6	14	10	11	23
ADNP2	8	8	10	9	14	9	9	14
ADO	13	4	8	4	12	7	6	15
ADORA1	0	0	0	0	0	0	0	0
ADORA2A	1	0	2	3	0	0	2	0
ADORA2A-AS1	1	1	4	4	0	0	1	0
ADORA2B	26	15	45	20	11	8	5	10
ADORA3	0	0	0	0	0	0	0	0
ADPGK	43	35	24	26	54	54	22	45
ADPGK-AS1	1	6	3	3	2	2	3	1
ADPRH	9	0	0	4	2	1	4	4
ADPRHL1	8	0	4	4	4	5	3	1
ADPRHL2	81	14	22	25	73	54	31	43
ADPRM	39	36	52	55	65	95	82	103
ADRA1A	18	21	39	35	12	14	10	13
ADRA1B	0	1	0	1	0	0	0	2
ADRA1D	0	0	0	0	0	0	0	0
ADRA2A	5	12	19	28	2	32	37	44
ADRA2B	0	0	0	0	0	0	0	0
ADRA2C	1	6	14	11	0	13	12	13
ADRB1	2	3	12	4	0	1	2	4
ADRB2	0	0	0	0	0	0	0	0
ADRB3	1	2	0	1	2	1	1	2
ADRBK1	12	1	7	5	6	10	8	3
ADRBK2	21	22	23	30	8	8	12	19
ADRM1	92	24	29	46	98	83	61	86
ADSL	247	62	95	97	477	263	199	206
ADSS	80	9	19	24	74	42	30	32
ADSSL1	0	1	0	1	0	1	0	2
ADTRP	14	0	0	0	9	0	0	0
AEBP1	34	4	6	3	21	8	10	7
AEBP2	25	4	13	6	14	8	6	17
AEN	218	49	104	104	213	118	134	119
AES	11	5	5	11	6	9	7	7
AFAP1	127	29	33	35	150	44	33	54
AFAP1-AS1	6	2	5	3	8	6	3	6
AFAP1L1	3	3	4	3	0	1	2	2
AFAP1L2	1	0	0	0	0	0	0	0
AFF1	22	21	28	24	16	16	12	28
AFF2	3	0	1	0	1	1	1	0
AFF3	36	51	58	45	23	18	17	16
AFF4	121	57	39	51	143	86	86	76
AFG3L1P	10	4	15	4	10	8	13	6
AFG3L2	102	46	33	54	140	92	87	80
AFM	0	0	0	0	0	0	0	0
AFMID	72	34	72	67	83	52	33	44
AFP	2	0	0	0	3	0	0	0
AFTPH	19	9	16	11	20	18	11	11
AGA	90	17	24	21	117	50	52	54
AGAP1	21	14	13	18	12	21	14	15
AGAP11	8	10	8	9	7	7	6	10
AGAP2	0	0	0	0	0	0	0	0
AGAP2-AS1	0	0	0	0	0	0	1	0
AGAP3	8	4	6	2	15	11	4	8
AGAP4	6	7	8	6	3	1	3	2
AGAP5	8	6	8	7	4	2	1	6
AGAP6	7	13	9	4	10	4	3	3
AGAP7	7	8	9	5	1	4	2	5
AGAP8	15	14	13	12	9	7	4	8
AGAP9	8	12	8	7	5	4	2	5
AGBL1	0	0	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0	0
AGBL2	0	4	2	5	1	0	0	3
AGBL3	1	1	0	1	2	1	0	1
AGBL4	1	0	1	0	0	0	0	0
AGBL5	105	25	119	92	156	61	133	91
AGER	2	1	1	1	1	0	0	0
AGFG1	21	20	35	25	18	20	17	40
AGFG2	1	6	9	4	1	4	3	8
AGGF1	44	20	14	26	42	35	34	35
AGK	23	8	9	15	35	29	18	11
AGL	43	18	30	32	38	43	22	27
AGMAT	55	56	83	65	23	28	23	26
AGMO	11	11	34	25	4	4	7	9
AGO1	21	5	18	7	16	15	12	21
AGO2	13	13	25	10	15	20	12	21
AGO3	14	14	14	18	25	21	17	11
AGO4	29	17	35	21	18	10	10	6
AGPAT1	21	8	8	9	14	18	15	18
AGPAT2	64	32	62	267	117	134	251	803
AGPAT3	21	5	12	9	18	16	19	21
AGPAT4	19	9	17	11	17	33	27	20
AGPAT4-IT1	5	12	19	10	5	3	1	8
AGPAT5	24	17	9	11	29	35	14	19
AGPAT6	59	68	68	56	64	45	29	37
AGPAT9	0	0	1	5	1	0	4	20
AGPS	63	17	35	20	43	36	23	50
AGR2	0	0	0	0	0	0	0	0
AGR3	0	0	0	0	0	0	0	0
AGRN	1	0	0	0	0	0	0	0
AGRP	0	0	0	0	0	0	0	0
AGT	1	0	2	3	6	0	5	24
AGTPBP1	2	4	1	7	11	7	3	0
AGTR1	1	7	11	10	1	1	2	6
AGTR2	0	0	0	0	0	0	0	0
AGTRAP	177	49	58	49	206	176	114	96
AGXT	0	0	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0	0
AHCTF1	14	20	34	27	12	23	19	33
AHCTF1P1	8	16	29	20	8	15	13	20
AHCY	265	110	135	161	423	532	288	397
AHCYL1	142	68	78	100	204	281	149	217
AHCYL2	8	17	12	11	6	4	2	3
AHDC1	5	2	4	3	6	7	6	5
AHI1	111	73	126	121	115	101	66	65
AHNAK	601	115	126	120	511	296	198	234
AHNAK2	70	8	8	2	110	23	7	6
AHR	33	31	49	50	19	20	8	19
AHRR	21	19	14	21	17	9	5	6
AHSA1	130	50	60	61	221	206	161	150
AHSA2	44	36	44	30	12	24	19	14
AHSG	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0
AICDA	12	11	26	26	11	9	6	7
AIDA	70	26	28	19	44	43	30	34
AIF1	0	0	0	0	0	0	0	0
AIF1L	0	0	0	0	0	0	0	0
AIFM1	104	42	71	74	132	89	95	126
AIFM2	33	25	91	115	62	54	133	282
AIFM3	0	0	0	2	0	4	3	1
AIG1	118	21	35	29	183	89	65	101
AIM1	29	24	39	26	8	11	11	31
AIM1L	0	0	0	0	0	0	0	0
AIM2	0	1	1	1	8	0	1	0
AIMP1	319	78	158	152	404	253	262	230
AIMP2	178	44	34	42	224	138	99	140
AIP	68	28	41	39	165	111	64	74
AIPL1	26	14	46	26	14	8	7	11
AIRE	7	12	7	8	3	2	0	1
AIRN	0	0	0	0	0	0	0	0
AJAP1	0	2	0	2	6	3	1	4
AJUBA	32	5	14	10	39	8	6	3
AK1	48	27	51	50	36	43	36	36
AK2	201	47	79	99	338	150	161	152
AK3	65	60	70	106	76	132	64	165
AK4	12	5	17	28	9	13	32	85
AK5	30	16	2	4	14	54	22	16
AK7	0	0	1	5	0	0	0	1
AK8	3	0	1	1	0	0	2	0
AK9	15	8	9	19	4	10	6	11
AKAP1	48	23	95	68	44	83	37	53
AKAP10	19	12	12	10	13	15	3	13
AKAP11	78	22	42	17	35	57	30	32
AKAP12	28	37	66	56	33	101	82	133
AKAP13	87	88	121	130	82	203	137	164
AKAP14	0	0	0	0	0	0	0	0
AKAP17A	21	15	14	19	21	11	16	14
AKAP2	84	100	113	114	124	425	194	230
AKAP3	0	0	0	0	0	1	0	0
AKAP4	0	0	0	0	0	0	0	0
AKAP5	13	27	37	33	14	15	2	10
AKAP6	1	0	1	0	0	0	0	0
AKAP7	2	0	2	7	7	3	4	4
AKAP8	84	33	55	53	116	72	43	51
AKAP8L	13	1	3	10	19	13	13	18
AKAP9	141	114	138	150	106	132	118	97
AKIP1	91	43	55	53	160	78	57	59
AKIRIN1	28	30	50	34	20	20	14	20
AKIRIN2	26	8	8	10	12	11	18	16
AKNA	21	17	40	35	13	10	11	14
AKNAD1	0	3	1	3	0	2	0	1
AKR1A1	380	128	185	198	536	565	405	436
AKR1B1	426	84	112	139	756	326	241	297
AKR1B10	18	14	37	15	20	5	8	5
AKR1B15	2	0	0	1	2	2	1	0
AKR1C1	137	2079	1995	3532	140	5592	3223	5273
AKR1C2	181	2427	2398	4318	179	6847	4319	7296
AKR1C3	138	1324	1125	2149	184	2642	2002	3410
AKR1C4	15	266	189	361	24	362	262	456
AKR1C6P	0	2	1	0	2	2	0	1
AKR1CL1	0	0	1	2	0	0	1	0
AKR1D1	4	23	32	17	10	8	8	4
AKR1E2	4	0	2	7	7	7	6	4
AKR7A2	132	35	59	68	33	68	96	74
AKR7A2P1	2	0	1	1	0	0	0	2
AKR7A3	9	5	7	7	4	3	2	3
AKR7L	26	17	19	18	4	14	10	14
AKT1	10	5	6	5	11	9	8	3
AKT1S1	6	2	1	4	6	4	6	7
AKT2	6	13	35	13	15	5	4	7
AKT3	81	20	24	22	71	33	25	23
AKTIP	37	17	21	32	55	47	49	57
ALAD	36	26	24	31	74	77	49	56
ALAS1	102	28	63	71	98	102	87	137
ALAS2	0	0	0	0	0	0	0	0
ALB	0	2	0	0	0	0	0	0
ALCAM	164	75	96	73	134	172	162	142
ALDH16A1	9	4	4	13	8	13	12	9
ALDH18A1	123	35	68	48	178	155	102	116
ALDH1A1	0	0	1	2	0	1	2	3
ALDH1A2	0	0	0	0	0	0	0	0
ALDH1A3	10	5	26	48	3	18	23	55
ALDH1B1	108	23	53	37	174	30	42	70
ALDH1L1	0	0	5	33	0	1	11	71
ALDH1L1-AS1	0	0	0	0	0	0	0	0
ALDH1L1-AS2	1	0	1	0	0	0	1	1
ALDH1L2	267	102	151	125	230	152	114	159
ALDH2	363	114	122	192	449	614	320	510
ALDH3A1	0	0	0	0	0	0	0	0
ALDH3A2	36	9	32	37	61	67	47	71
ALDH3B1	21	23	45	17	38	42	31	32
ALDH3B2	0	0	0	0	0	0	1	0
ALDH4A1	2	3	3	2	4	3	4	4
ALDH5A1	26	29	31	30	11	7	8	5
ALDH6A1	151	128	239	224	115	226	242	364
ALDH7A1	221	83	156	235	289	353	329	527
ALDH8A1	12	19	31	12	4	1	5	4
ALDH9A1	396	95	155	231	666	488	386	613
ALDOA	1846	540	563	1271	3360	2048	1787	2844
ALDOB	0	0	1	0	0	0	0	0
ALDOC	14	12	6	19	50	46	22	62
ALG1	124	53	91	97	115	99	86	77
ALG10	6	10	13	9	10	9	5	10
ALG10B	27	42	44	35	18	16	12	21
ALG11	103	43	58	65	155	146	105	134
ALG12	9	1	1	5	5	6	3	8
ALG13	55	20	31	38	61	48	42	45
ALG14	106	20	36	29	109	57	39	66
ALG1L	19	4	18	9	12	10	8	5
ALG1L2	6	0	3	2	3	2	3	4
ALG1L9P	22	22	44	24	14	15	11	16
ALG2	112	50	23	69	138	121	79	108
ALG3	75	35	37	70	122	129	90	105
ALG5	248	145	161	261	282	407	364	396
ALG6	15	9	11	24	26	30	17	18
ALG8	119	53	75	79	196	154	141	160
ALG9	84	75	105	97	75	66	57	111
ALK	1	3	0	1	1	0	0	0
ALKBH1	14	4	11	12	13	24	9	13
ALKBH2	60	25	24	27	77	67	62	52
ALKBH3	74	15	25	34	111	90	42	69
ALKBH3-AS1	1	0	0	0	0	0	0	0
ALKBH4	40	36	62	34	46	48	31	40
ALKBH5	39	14	25	26	45	33	42	23
ALKBH6	0	1	1	0	1	3	0	1
ALKBH7	101	19	28	32	150	140	99	113
ALKBH8	42	8	2	11	41	22	7	18
ALLC	0	0	0	0	0	0	0	0
ALMS1	15	4	11	10	10	8	9	4
ALMS1P	2	0	2	1	1	0	0	0
ALOX12	1	0	3	5	1	4	2	2
ALOX12B	0	0	0	0	0	0	0	0
ALOX12P2	1	0	1	1	0	0	0	0
ALOX15	1	3	2	2	1	2	0	0
ALOX15B	1	5	17	11	0	44	18	10
ALOX15P1	0	0	0	0	0	0	0	0
ALOX5	0	0	0	0	0	0	0	0
ALOX5AP	20	5	1	2	31	13	11	5
ALOXE3	1	0	0	0	1	0	0	0
ALPI	0	0	0	0	0	0	0	0
ALPK1	31	17	43	16	24	25	16	30
ALPK2	163	23	35	18	151	26	23	21
ALPK3	2	0	0	0	0	0	0	1
ALPL	4	0	2	5	3	4	9	12
ALPP	12	10	27	14	5	3	3	11
ALPPL2	0	0	0	0	0	0	0	0
ALS2	55	24	57	40	38	22	21	26
ALS2CL	14	14	20	15	3	2	5	3
ALS2CR11	10	2	2	3	1	4	1	0
